ba_project,ba_doc_file,ba_doc_url,prepared_by,institution,date_report,date_test_beg,date_test_end
AMP - Lake Washington,Biological Evaluation REV 2,https://docs.google.com/document/d/13dW42WzMhVkCMFjw2A-VpgXz8Bnh0cjPYhZE6UeY-n8/edit?usp=share_link,Dr. Brian Polagye,Northwest National Marine Renewable Energy Center,NA,NA,NA
AMP - WA,AMP Biological Evaluation REV1.02,https://docs.google.com/document/d/1ssKac7uF9bTT_KJtgnri7M-z2n4YLHORk0NEyJCdPO0/edit?usp=share_link,Dr. Brian Polagye,Northwest National Marine Renewable Energy Center,NA,NA,NA
Bourne - MA,EA Bourne 20230913-3024,https://drive.google.com/file/d/1VuW_k2PhUplS5BHDsDGkgev3drkBVRZu/view?usp=drive_link,NA,NA,NA,NA,NA
SnoPUD - WA,SnoPUD Biological Eval_6.2011v3,https://docs.google.com/document/d/1wSkqwlIm1rG7ZGrzN86qpAPe4uU0dWNCb51aDGe6Y3Y/edit?usp=share_link,Dr. Brian Polagye,Northwest National Marine Renewable Energy Center,NA,2011-08-01T00:00:00Z,2012-06-01T00:00:00Z
Sounds - Admiralty,Biological Evaluation REV 1.2,https://docs.google.com/document/d/1oXlMpPdpilM_yMIGoofk06zR-bK9Flx0kDqxTyDKMSo/edit?usp=share_link,Dr. Brian Polagye,Northwest National Marine Renewable Energy Center,NA,NA,NA
Tanana - AK,2015_2_5_Tanana River Biological Evaluation,https://docs.google.com/document/d/10bZbro9wkKPC7JjZx-bfdiFRJUhubyVpYO0cYv6pH9w/edit?usp=share_link,Dr. Jeremy Kasper,Northwest National Marine Renewable Energy Center,2015-01-15T00:00:00Z,NA,NA
Tanana - AK,NEPA Nenana 2019.pdf,https://drive.google.com/file/d/1zr2E9rtGrijyGTwaXuNOskeykdHs00NG/view?usp=share_link,Stephanie Jump,Alaska Center for Energy and Power,2019-06-19T00:00:00Z,NA,NA
Tanana - AK,NEPA_Nenana 2019_follow_up,https://docs.google.com/document/d/1ppe0kUW68MYp1tbfb_CbMVtFn4-jkvzNS4srwQX03vM/edit?usp=share_link,NA,NA,NA,2020-06-01T00:00:00Z,2021-07-01T00:00:00Z
Yakutat - AK,kasper_alfa_nepa_yakutat_biological_evaluation,https://docs.google.com/document/d/1ci_vhQNj5XJI8siDxotUCofK20LvMYOPZui_lIznjcI/edit?usp=share_link,Dr. Jeremy Kasper,Northwest National Marine Renewable Energy Center,2016-08-15T00:00:00Z,NA,NA
iAMP - Newport,Biological Evaluation REV 1.1 - iAMP - Newport,https://docs.google.com/document/d/1AN0w56u8gkAUl1RmVjGAmeV6faZ7WUvjvCrW4qRhnVQ/edit?usp=share_link,Dr. Sarah Henkel,Northwest National Marine Renewable Energy Center,NA,NA,NA
iAMP - Sequim,Biological Evaluation REV 1.7 - iAMP - Sequim,https://docs.google.com/document/d/1sEk1ZPwaCatLgOn5iZlhBuqVwCvQW4RnRTbNMFpJN_U/edit?usp=share_link,Dr. Brian Polagye,Northwest National Marine Renewable Energy Center,NA,NA,NA
iAMP - WETS,Biological Evaluation REV 1.2 - iAMP - WETS,https://docs.google.com/document/d/1AN0w56u8gkAUl1RmVjGAmeV6faZ7WUvjvCrW4qRhnVQ/edit?usp=share_link,Dr. Brian Polagye,Northwest National Marine Renewable Energy Center,NA,NA,NA
