content,tag_category,content_tag,content_tag_strip,content_tag_sql,category,tag,cat,tag_nocat
ferc_docs,Consequence,Attraction,Attraction,Consequence.Attraction,Consequence,Consequence/Attraction,consequence,Attraction
ferc_docs,Consequence,Avoidance,Avoidance,Consequence.Avoidance,Consequence,Consequence/Avoidance,consequence,Avoidance
ferc_docs,Consequence,BehavioralChange,BehavioralChange,Consequence.BehavioralChange,Consequence,Consequence/Behavioral Change,consequence,Behavioral Change
ferc_docs,Consequence,Collision,Collision,Consequence.Collision,Consequence,Consequence/Collision,consequence,Collision
ferc_docs,Consequence,CommunityChange,CommunityChange,Consequence.CommunityChange,Consequence,Consequence/Community Change,consequence,Community Change
ferc_docs,Consequence,Displacement,Displacement,Consequence.Displacement,Consequence,Consequence/Displacement,consequence,Displacement
ferc_docs,Consequence,EntanglementEntrapment,EntanglementEntrapment,Consequence.EntanglementEntrapment,Consequence,Consequence/Entanglement Entrapment,consequence,Entanglement Entrapment
ferc_docs,Consequence,Injury,Injury,Consequence.Injury,Consequence,Consequence/Injury,consequence,Injury
ferc_docs,Receptor,Bats,Bats,Receptor.Bats,Receptor,Receptor/Bats,receptor,Bats
ferc_docs,Receptor,Birds,Birds,Receptor.Birds,Receptor,Receptor/Birds,receptor,Birds
ferc_docs,Receptor,Birds.Raptors,Birds.Raptors,Receptor.Birds.Raptors,Receptor,Receptor/Birds/Raptors,receptor,Birds/Raptors
ferc_docs,Receptor,Birds.Seabirds,Birds.Seabirds,Receptor.Birds.Seabirds,Receptor,Receptor/Birds/Seabirds,receptor,Birds/Seabirds
ferc_docs,Receptor,Birds.Shorebirds,Birds.Shorebirds,Receptor.Birds.Shorebirds,Receptor,Receptor/Birds/Shorebirds,receptor,Birds/Shorebirds
ferc_docs,Receptor,Birds.Waterfowl,Birds.Waterfowl,Receptor.Birds.Waterfowl,Receptor,Receptor/Birds/Waterfowl,receptor,Birds/Waterfowl
ferc_docs,Receptor,Ecosystem Processes,EcosystemProcesses,Receptor.EcosystemProcesses,Receptor,Receptor/Ecosystem Processes,receptor,Ecosystem Processes
ferc_docs,Receptor,Fish,Fish,Receptor.Fish,Receptor,Receptor/Fish,receptor,Fish
ferc_docs,Receptor,Fish.Demersal Fish,Fish.DemersalFish,Receptor.Fish.DemersalFish,Receptor,Receptor/Fish/Demersal Fish,receptor,Fish/Demersal Fish
ferc_docs,Receptor,Fish.Pelagic Fish,Fish.PelagicFish,Receptor.Fish.PelagicFish,Receptor,Receptor/Fish/Pelagic Fish,receptor,Fish/Pelagic Fish
ferc_docs,Receptor,Human Dimensions.Fisheries,HumanDimensions.Fisheries,Receptor.HumanDimensions.Fisheries,Receptor,Receptor/Human Dimensions/Fisheries,receptor,Human Dimensions/Fisheries
ferc_docs,Receptor,Human Dimensions.Navigation,HumanDimensions.Navigation,Receptor.HumanDimensions.Navigation,Receptor,Receptor/Human Dimensions/Navigation,receptor,Human Dimensions/Navigation
ferc_docs,Receptor,Human Dimensions.Recreation & Tourism,HumanDimensions.RecreationTourism,Receptor.HumanDimensions.RecreationTourism,Receptor,Receptor/Human Dimensions/Recreation & Tourism,receptor,Human Dimensions/Recreation & Tourism
ferc_docs,Receptor,Human Dimensions.Social & Economic Data,HumanDimensions.SocialEconomicData,Receptor.HumanDimensions.SocialEconomicData,Receptor,Receptor/Human Dimensions/Social & Economic Data,receptor,Human Dimensions/Social & Economic Data
ferc_docs,Receptor,Human Dimensions.Visual Impacts,HumanDimensions.VisualImpacts,Receptor.HumanDimensions.VisualImpacts,Receptor,Receptor/Human Dimensions/Visual Impacts,receptor,Human Dimensions/Visual Impacts
ferc_docs,Receptor,Invertebrates,Invertebrates,Receptor.Invertebrates,Receptor,Receptor/Invertebrates,receptor,Invertebrates
ferc_docs,Receptor,Marine Mammals,MarineMammals,Receptor.MarineMammals,Receptor,Receptor/Marine Mammals,receptor,Marine Mammals
ferc_docs,Receptor,Marine Mammals.Cetaceans,MarineMammals.Cetaceans,Receptor.MarineMammals.Cetaceans,Receptor,Receptor/Marine Mammals/Cetaceans,receptor,Marine Mammals/Cetaceans
ferc_docs,Receptor,Marine Mammals.Pinnipeds,MarineMammals.Pinnipeds,Receptor.MarineMammals.Pinnipeds,Receptor,Receptor/Marine Mammals/Pinnipeds,receptor,Marine Mammals/Pinnipeds
ferc_docs,Receptor,Physical Environment,PhysicalEnvironment,Receptor.PhysicalEnvironment,Receptor,Receptor/Physical Environment,receptor,Physical Environment
ferc_docs,Receptor,Physical Environment.Sediment Transport,PhysicalEnvironment.SedimentTransport,Receptor.PhysicalEnvironment.SedimentTransport,Receptor,Receptor/Physical Environment/Sediment Transport,receptor,Physical Environment/Sediment Transport
ferc_docs,Receptor,Physical Environment.Water Quality,PhysicalEnvironment.WaterQuality,Receptor.PhysicalEnvironment.WaterQuality,Receptor,Receptor/Physical Environment/Water Quality,receptor,Physical Environment/Water Quality
ferc_docs,Receptor,Reptiles,Reptiles,Receptor.Reptiles,Receptor,Receptor/Reptiles,receptor,Reptiles
ferc_docs,Stressor,Behavioral Interaction,BehavioralInteraction,Stressor.BehavioralInteraction,Stressor,Stressor/Behavioral Interaction,stressor,Behavioral Interaction
ferc_docs,Stressor,Behavioral Interaction.Attraction,BehavioralInteraction.Attraction,Stressor.BehavioralInteraction.Attraction,Stressor,Stressor/Behavioral Interaction/Attraction,stressor,Behavioral Interaction/Attraction
