doc,url,key_effects,key_interaction_detail,notes_mp,notes_amp,notes_general,receptor,stressor,technology,phase,presented_as_potential_interaction,decribed_from_observations_at_the_project_site,monitoring_plan_(mp),adaptive_management_plan_(amp),protection_mitigation_and_enhancement,bmps_applied
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,POTENTIAL TOXIC RESPONSE,INCREASE OF AIR EMMISIONS DURING CONSTRUCTION,NA,NA,NA,Physical Environment,Habitat Change,Marine Energy.Wave,2. Construction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,LOSS OF BIODIVERSITY,GEOLOGY AND SOIL DISTURBANCE,NA,NA,NA,Physical Environment,Habitat Change,Marine Energy.Wave,2. Construction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,CHANGE IN OCEAN DYNAMICS,"""NAVFAC EXWC 2011"" REFERANCED FOR BASELINE ANALYSIS",NA,NA,Physical Environment,Physical Interaction.Changes in Flow,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,POTENTIAL TOXIC RESPONSE,CONTAMINATION,"""NAVFAC EXWC 2011"" REFERANCED FOR BASELINE ANALYSIS",NA,NA,Physical Environment.Water Quality,Habitat Change,Marine Energy.Wave,ALL,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,POTENTIAL TOXIC RESPONSE,CONTAMINATION,TBD IF ALTERNATIVE SELECTED,NA,NA,Physical Environment.Water Quality,Habitat Change,Marine Energy.Wave,2. Construction,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,INJURY/MORTALITY,NA,NA,NA,NA,Marine Mammals.Pinnipeds,Physical Interaction.Collision,Marine Energy.Wave,2. Construction,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,INJURY/MORTALITY,NA,NA,NA,NA,Marine Mammals.Cetaceans,Physical Interaction.Collision,Marine Energy.Wave,2. Construction,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, AVOIDANCE",The potential effects from underwater noise generated by wave and tidal energy converters AND Potential for disturbance from project vessels.,MONITORING HYDROPHONES DEPLOYED AS PART OF THE PREFERRED ALTERNATIVE,NA,NA,Marine Mammals.Pinnipeds,Noise,Marine Energy.Wave,2. Construction,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, AVOIDANCE",The potential effects from underwater noise generated by wave and tidal energy converters AND Potential for disturbance from project vessels.,MONITORING HYDROPHONES DEPLOYED AS PART OF THE PREFERRED ALTERNATIVE,NA,NA,Marine Mammals.Cetaceans,Noise,Marine Energy.Wave,2. Construction,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,INJURY/MORTALITY,NA,NA,NA,NA,Marine Mammals.Pinnipeds,Physical Interaction.Collision,Marine Energy.Wave,4. Decommissioning,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,INJURY/MORTALITY,NA,NA,NA,NA,Marine Mammals.Cetaceans,Physical Interaction.Collision,Marine Energy.Wave,4. Decommissioning,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, AVOIDANCE",The potential effects from underwater noise generated by wave and tidal energy converters AND Potential for disturbance from project vessels.,MONITORING HYDROPHONES DEPLOYED AS PART OF THE PREFERRED ALTERNATIVE,NA,NA,Marine Mammals.Pinnipeds,Noise,Marine Energy.Wave,4. Decommissioning,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, AVOIDANCE",The potential effects from underwater noise generated by wave and tidal energy converters AND Potential for disturbance from project vessels.,MONITORING HYDROPHONES DEPLOYED AS PART OF THE PREFERRED ALTERNATIVE,NA,NA,Marine Mammals.Cetaceans,Noise,Marine Energy.Wave,4. Decommissioning,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, AVOIDANCE",DISTURBANCE,SENSORS DEPLOYED TO MEASURE DURING OPERATION OF PREFERRED ALTERNATIVE,NA,NA,Marine Mammals.Pinnipeds,EMF,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, AVOIDANCE",DISTURBANCE,SENSORS DEPLOYED TO MEASURE DURING OPERATION OF PREFERRED ALTERNATIVE,NA,NA,Marine Mammals.Cetaceans,EMF,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, BIODIVERSITY CHANGE",THERMAL POLLUTION AND MARINE MAMMALS,NA,NA,NA,Marine Mammals.Pinnipeds,Habitat Change,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, BIODIVERSITY CHANGE",THERMAL POLLUTION AND MARINE MAMMALS,NA,NA,NA,Marine Mammals.Cetaceans,Habitat Change,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"AVOIDANCE, INJURY",NA,SURVEYS OF SHALLOW ITE DISCUSSED.  SURVEYS COMPLETED FOR SHALLOW SITE IN  2001-2003; 2011.,NA,NA,Marine Mammals.Pinnipeds,Physical Interaction.Entrapment,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"AVOIDANCE, INJURY",NA,SURVEYS OF SHALLOW ITE DISCUSSED.  SURVEYS COMPLETED FOR SHALLOW SITE IN  2001-2003; 2011.,NA,NA,Marine Mammals.Cetaceans,Physical Interaction.Entrapment,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
