KEY INTERACTION DETAIL,n,key_interaction_detail
"""ORPC has designed the underwater cables to minimize the potential for effect of EMF on river species. The Project is very small, will be deployed for a limited time, and any electromagnetic fields created from the Project are expected to be extremely localized and minor. In comments on ORPC’s Cook Inlet Tidal Energy Project (FERC Project No. 12679) in Alaska, NMFS concurred with these conclusions regarding EMF, stating “NMFS agrees that the current transmitted from the one to five MW turbine arrays, shielded 
by armored cable and trenching associated with the latter, are not likely to cause significant effects” (NMFS letter to FERC dated May 14, 2009).""",1,"""Orpc Has Designed The Underwater Cables To Minimize The Potential For Effect Of Emf On River Species. The Project Is Very Small, Will Be Deployed For A Limited Time, And Any Electromagnetic Fields Created From The Project Are Expected To Be Extremely Localized And Minor. In Comments On Orpc’s Cook Inlet Tidal Energy Project (Ferc Project No. 12679) In Alaska, Nmfs Concurred With These Conclusions Regarding Emf, Stating “Nmfs Agrees That The Current Transmitted From The One To Five Mw Turbine Arrays, Shielded 
By Armored Cable And Trenching Associated With The Latter, Are Not Likely To Cause Significant Effects” (Nmfs Letter To Ferc Dated May 14, 2009)."""
"""Our analysis consists of the following:
■ Frequency of interaction with turbine;
■ Turbine design, speed, operation frequency;
■ Abilities of fish and marine mammals to detect large underwater features;
■ Past blade strike analyses;
■ Flow analysis;
■ Comparison of OpenHydro tidal turbine to traditional hydropower and other turbines for
potential injury of marine life;
■ Project scale and context;
■ The District’s proposed near-turbine monitoring study;
■ Proposed safeguards to protect marine life; and
■ Conclusion.""",1,"""Our Analysis Consists Of The Following:
■ Frequency Of Interaction With Turbine;
■ Turbine Design, Speed, Operation Frequency;
■ Abilities Of Fish And Marine Mammals To Detect Large Underwater Features;
■ Past Blade Strike Analyses;
■ Flow Analysis;
■ Comparison Of Openhydro Tidal Turbine To Traditional Hydropower And Other Turbines For
Potential Injury Of Marine Life;
■ Project Scale And Context;
■ The District’s Proposed Near-Turbine Monitoring Study;
■ Proposed Safeguards To Protect Marine Life; And
■ Conclusion."""
"■ Habitat alteration (effects of placement of project components and creation of ""new"" habitat
features [hard structure in water column and benthic habitats]) resulting in the following potential environmental effects
• Construction impacts (from construction and placement of project components on the seabed)
• Changes to marine community composition (use patterns, attraction, aversion)",4,"■ Habitat Alteration (Effects Of Placement Of Project Components And Creation Of ""New"" Habitat
Features [Hard Structure In Water Column And Benthic Habitats]) Resulting In The Following Potential Environmental Effects
• Construction Impacts (From Construction And Placement Of Project Components On The Seabed)
• Changes To Marine Community Composition (Use Patterns, Attraction, Aversion)"
"a project the size of the proposed Reedsport Project would only have a negligible effect on
 ocean currents, wave attenuation, and related erosion and/or accretion patterns in the Coos littoral cell.",1,"A Project The Size Of The Proposed Reedsport Project Would Only Have A Negligible Effect On
 Ocean Currents, Wave Attenuation, And Related Erosion And/Or Accretion Patterns In The Coos Littoral Cell."
"Activities associated with installation of the RivGen® Power System and cables will cause mostly temporary disturbances to the riverbed and terrestrial cable route during construction. Scouring around the RivGen® pontoon support structures and anchors is expected to be negligible considering that the composition of sediments in the deployment area contains high densities of coarse gravels and cobbles.
IVC anticipates filing an Erosion and Sediment Control Plan as part of the standard Contract Plans and Specifications article, prior to Commission approval of start of construction. This plan will ensure that activities associated with cable installation would have a minimal and temporary effect on sediment transport to the river.",2,"Activities Associated With Installation Of The Rivgen® Power System And Cables Will Cause Mostly Temporary Disturbances To The Riverbed And Terrestrial Cable Route During Construction. Scouring Around The Rivgen® Pontoon Support Structures And Anchors Is Expected To Be Negligible Considering That The Composition Of Sediments In The Deployment Area Contains High Densities Of Coarse Gravels And Cobbles.
Ivc Anticipates Filing An Erosion And Sediment Control Plan As Part Of The Standard Contract Plans And Specifications Article, Prior To Commission Approval Of Start Of Construction. This Plan Will Ensure That Activities Associated With Cable Installation Would Have A Minimal And Temporary Effect On Sediment Transport To The River."
"Although intense underwater sound, such as impulses produced by underwater explosions, seismic pulses, sonar, and pile-driving, has the potential to cause injury or mortality to seabirds, sound emitted by the WECs during ordinary operation is expected to be within the range of ambient sound levels; furthermore, it is not expected to produce intense sound at amplitudes capable of causing auditory harm to marine vertebrates (Wilson et al. 2014).",1,"Although Intense Underwater Sound, Such As Impulses Produced By Underwater Explosions, Seismic Pulses, Sonar, And Pile-Driving, Has The Potential To Cause Injury Or Mortality To Seabirds, Sound Emitted By The Wecs During Ordinary Operation Is Expected To Be Within The Range Of Ambient Sound Levels; Furthermore, It Is Not Expected To Produce Intense Sound At Amplitudes Capable Of Causing Auditory Harm To Marine Vertebrates (Wilson Et Al. 2014)."
"An increase in light values for permanent or temporary situations near roosts can potentially increase predation on bats and possibly cause bats to abandon a roost. A review of lighting and impacts to bats is provided by Fure (2006) and Rowse et al. (2016). OSU would minimize lighting at night or limit construction to daytime activities, and employ a buffer zone between lights and bat roost sites based on species (see Table 5). Therefore, artificial lights are not expected to disturb roosting bats.",1,"An Increase In Light Values For Permanent Or Temporary Situations Near Roosts Can Potentially Increase Predation On Bats And Possibly Cause Bats To Abandon A Roost. A Review Of Lighting And Impacts To Bats Is Provided By Fure (2006) And Rowse Et Al. (2016). Osu Would Minimize Lighting At Night Or Limit Construction To Daytime Activities, And Employ A Buffer Zone Between Lights And Bat Roost Sites Based On Species (See Table 5). Therefore, Artificial Lights Are Not Expected To Disturb Roosting Bats."
ANCHORAGE FROM MAINTENANCE AND MONITORING VESSELS EFFECTS,1,Anchorage From Maintenance And Monitoring Vessels Effects
"ANTICIPATED THAT AFTER INITIAL TRANSPOSRT, SEDIMENT MAY BE RESUSPENDED IN ALTERNATE DIRECTION ON TIDE CHANGE",1,"Anticipated That After Initial Transposrt, Sediment May Be Resuspended In Alternate Direction On Tide Change"
"ANY DEVICE RELATED ENTAGLEMENT, INJURY, STRANDING HAZARDS TO MARINE MAMMALS",1,"Any Device Related Entaglement, Injury, Stranding Hazards To Marine Mammals"
