ACTIVITY,n,activity
ALL,147,All
CONSTRUCTION,4,Construction
DECOMISSIONING,11,Decomissioning
DECOMMSSIONING,1,Decommssioning
DEVICE ASSESSMENT,1,Device Assessment
DEVICE OPERATION,1,Device Operation
INSTALLATION,53,Installation
INSTALLATION- DEVICE ANCHORS,3,Installation- Device Anchors
INSTALLATION-CABLE LAYING,19,Installation-Cable Laying
INSTALLATION-SECURING CABLE,12,Installation-Securing Cable
MAINTENANCE,11,Maintenance
MONITORING,1,Monitoring
OPERATION,60,Operation
OPERATION AND MAINTENANCE,111,Operation And Maintenance
OPERATION AND MANAGEMENT,4,Operation And Management
REMOVAL,5,Removal
SITE CHARACTERIZATION,9,Site Characterization
SITE CHARACTERIZATION AND ASSESSMENT,37,Site Characterization And Assessment
SITE CHARCTERIZATION,1,Site Charcterization
NA,151,NA
