prj,prj_doc
Admiralty Inlet,"ADMIRALTY INLET PILOT TIDAL PROJECT (PROJECT NO. 12690): ENVIRONMENTAL REPORT; PUBLIC UTILITY NO. 1 OF SNOHOMISH COUNTY Everett, Washington February 29, 2012"
Admiralty Inlet,"ADMIRALTY INLET PILOT TIDAL PROJECT (PROJECT NO. 12690): ENVIRONMENTAL REPORT; PUBLIC UTILITY NO. 1 OF SNOHOMISH COUNTY Everett, Washington February 29, 2012: Appendix A Protection Mitigation and Enhancement Measures: Appendix A Attacment 1 post installation monitoring summary: BENTHIHC HABITAT MONITORING"
Admiralty Inlet,"ADMIRALTY INLET PILOT TIDAL PROJECT (PROJECT NO. 12690): ENVIRONMENTAL REPORT; PUBLIC UTILITY NO. 1 OF SNOHOMISH COUNTY Everett, Washington February 29, 2012: Appendix B Benthic Habitat Monitoring Plan"
Bourne,BOURNE TIDAL TEST SITE
Cobscook Bay,"COBSCOOK BAY TIDAL ENERGY PROJECT
PILOT PROJECT LICENSE APPLICATION FERC PROJECT NO. 12711"
Igiugig,"ENVIRONMENTAL ASSESSMENT FOR HYDROPOWER LICENSE
 
 Igiugig Hydrokinetic Project—FERC Project No. 13511-003 Alaska"
Igiugig,"Igiugig Village Council
 
 Igiugig Hydrokinetic Project, Vol. 1 Filing Requirements & Exhibit A FERC Final Project License Application, P-13511-002
 
 November 15, 2018: VOLUME 2:
 
 EXHIBIT E – ENVIRONMENTAL REPORT"
Igiugig,"Igiugig Village Council  Igiugig Hydrokinetic Project, Vol. 1 Filing Requirements & Exhibit A FERC Final Project License Application, P-13511-002  November 15, 2018: VOLUME 2:  EXHIBIT E – ENVIRONMENTAL REPORT"
Igiugig,"NMFS Essential Fish Habitat Conservation Recommendations for the Iguigig Hydrokinetic
 
 Pilot License (FERC Project # P-13511)"
OPT Reedsport,"REEDSPORT OPT WAVE PARK FERC PROJECT NO. 12713
 
 APPLICANT PREPARED ENVIRONMENTAL ASSESSMENT VOLUME II OF IV
 
 REEDSPORT OPT WAVE PARK, LLC An Oregon Corporation
 
 © 2010 Ocean Power Technologies, Inc. All Rights Reserved
 
 JANUARY 2010"
OPT Reedsport,"REEDSPORT OPT WAVE PARK FERC PROJECT NO. 12713
 
 APPLICANT PREPARED ENVIRONMENTAL ASSESSMENT VOLUME II OF IV
 
 REEDSPORT OPT WAVE PARK, LLC An Oregon Corporation
 
 © 2010 Ocean Power Technologies, Inc. All Rights Reserved
 
 JANUARY 2010: APPENDIX B
 
 REEDSPORT OPT WAVE PARK OPERATION AND MAINTENANCE PLAN"
OPT Reedsport,"REEDSPORT OPT WAVE PARK FERC PROJECT NO. 12713
 
 APPLICANT PREPARED ENVIRONMENTAL ASSESSMENT VOLUME II OF IV
 
 REEDSPORT OPT WAVE PARK, LLC An Oregon Corporation
 
 © 2010 Ocean Power Technologies, Inc. All Rights Reserved
 
 JANUARY 2010: APPENDIX C
 
 MARINE RESOURCES STUDY PLANS"
OPT Reedsport,"REEDSPORT OPT WAVE PARK FERC PROJECT NO. 12713
 
 APPLICANT PREPARED ENVIRONMENTAL ASSESSMENT VOLUME II OF IV
 
 REEDSPORT OPT WAVE PARK, LLC An Oregon Corporation
 
 © 2010 Ocean Power Technologies, Inc. All Rights Reserved
 
 JANUARY 2010: APPENDIX F
 
 SPILL PREVENTION CONTROL AND COUNTERMEASURE PLAN"
PacWave-N,NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2012
PacWave-N,"NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: ""NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: Obtaining baseline measurements of ocean ambient sound at a mobile test berth site for wave energy conversion off the central Oregon coast
 
 J.H. Haxel, R.P. Dziak, H. Matsumoto"""
PacWave-N,"NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: Obtaining baseline measurements of ocean ambient sound at a mobile test berth site for wave energy conversion off the central Oregon coast
 
 J.H. Haxel, R.P. Dziak, H. Matsumoto"
PacWave-S,PACWAVE SOUTH APEA
PacWave-S,"PACWAVE SOUTH APEA: APPENDIX I: PROTECTION, MITIGATION, AND ENHANCEMENT MEASURES"
PacWave-S,PACWAVE SOUTH APEA: BIRD AND BAT CONSERVATION STRATEGY
RITE,"Final License Application
 
 For New License
 
 Roosevelt Island Tidal Energy Project
 
 FERC No. 12611
 
 Volume 4 of 4: VERDANT POWER
 
 ROOSEVELT ISLAND TIDAL ENERGY (RITE) PROJECT BIOLOGICAL ASSESSMENT
 
 SHORTNOSE STURGEON"
RITE,"Final License Application
 
 For New License
 
 Roosevelt Island Tidal Energy Project
 
 FERC No. 12611
 
 Volume 4 of 4: VERDANT POWER
 
 ROOSEVELT ISLAND TIDAL ENERGY (RITE) PROJECT BIOLOGICAL ASSESSMENT: 
 
 ESSENTIAL FISH HABITAT
 
  ROOSEVELT ISLAND TIDAL ENERGY PROJECT
 
 FERC NO. 12611"
RITE,"RITE: Final License Application
 
 For New License
 
 Roosevelt Island Tidal Energy Project
 
 FERC No. 12611; VOLUME 2 OF 4"
RITE,"Roosevelt Island Tidal Energy (RITE) Environmental Assessment Project
 
 Final Report Report 11-04
 
 March 2011"
WETS,WETS EA APRIL 2014
WETS,WETS EA JANUARY 2003
WaveConnect,Humboldt WaveConnect:EA Water Resources 20100301-4006(23508974).pdf
