prj,prj_doc,prj_doc_sec,prj_doc_sec_url
Admiralty Inlet,"ADMIRALTY INLET PILOT TIDAL PROJECT (PROJECT NO. 12690): ENVIRONMENTAL REPORT; PUBLIC UTILITY NO. 1 OF SNOHOMISH COUNTY Everett, Washington February 29, 2012",NA,NA
Admiralty Inlet,"ADMIRALTY INLET PILOT TIDAL PROJECT (PROJECT NO. 12690): ENVIRONMENTAL REPORT; PUBLIC UTILITY NO. 1 OF SNOHOMISH COUNTY Everett, Washington February 29, 2012: Appendix A Protection Mitigation and Enhancement Measures: Appendix A Attacment 1 post installation monitoring summary: BENTHIHC HABITAT MONITORING",NA,NA
Admiralty Inlet,"ADMIRALTY INLET PILOT TIDAL PROJECT (PROJECT NO. 12690): ENVIRONMENTAL REPORT; PUBLIC UTILITY NO. 1 OF SNOHOMISH COUNTY Everett, Washington February 29, 2012: Appendix B Benthic Habitat Monitoring Plan",NA,NA
Bourne,BOURNE TIDAL TEST SITE,NA,NA
Cobscook Bay,"COBSCOOK BAY TIDAL ENERGY PROJECT
PILOT PROJECT LICENSE APPLICATION FERC PROJECT NO. 12711",EXHIBIT E ENVIRONMENTAL REPORT,https://drive.google.com/drive/u/0/folders/1BqYdhOvRe_Kygq7Lg_02dAnCSt9bKTjY
Igiugig,"ENVIRONMENTAL ASSESSMENT FOR HYDROPOWER LICENSE
 
 Igiugig Hydrokinetic Project—FERC Project No. 13511-003 Alaska",NA,NA
Igiugig,"Igiugig Village Council
 
 Igiugig Hydrokinetic Project, Vol. 1 Filing Requirements & Exhibit A FERC Final Project License Application, P-13511-002
 
 November 15, 2018: VOLUME 2:
 
 EXHIBIT E – ENVIRONMENTAL REPORT",NA,NA
Igiugig,"Igiugig Village Council  Igiugig Hydrokinetic Project, Vol. 1 Filing Requirements & Exhibit A FERC Final Project License Application, P-13511-002  November 15, 2018: VOLUME 2:  EXHIBIT E – ENVIRONMENTAL REPORT",NA,NA
Igiugig,"NMFS Essential Fish Habitat Conservation Recommendations for the Iguigig Hydrokinetic
 
 Pilot License (FERC Project # P-13511)",NA,NA
OPT Reedsport,"REEDSPORT OPT WAVE PARK FERC PROJECT NO. 12713
 
 APPLICANT PREPARED ENVIRONMENTAL ASSESSMENT VOLUME II OF IV
 
 REEDSPORT OPT WAVE PARK, LLC An Oregon Corporation
 
 © 2010 Ocean Power Technologies, Inc. All Rights Reserved
 
 JANUARY 2010",NA,NA
OPT Reedsport,"REEDSPORT OPT WAVE PARK FERC PROJECT NO. 12713
 
 APPLICANT PREPARED ENVIRONMENTAL ASSESSMENT VOLUME II OF IV
 
 REEDSPORT OPT WAVE PARK, LLC An Oregon Corporation
 
 © 2010 Ocean Power Technologies, Inc. All Rights Reserved
 
 JANUARY 2010: APPENDIX B
 
 REEDSPORT OPT WAVE PARK OPERATION AND MAINTENANCE PLAN",NA,NA
OPT Reedsport,"REEDSPORT OPT WAVE PARK FERC PROJECT NO. 12713
 
 APPLICANT PREPARED ENVIRONMENTAL ASSESSMENT VOLUME II OF IV
 
 REEDSPORT OPT WAVE PARK, LLC An Oregon Corporation
 
 © 2010 Ocean Power Technologies, Inc. All Rights Reserved
 
 JANUARY 2010: APPENDIX C
 
 MARINE RESOURCES STUDY PLANS",NA,NA
OPT Reedsport,"REEDSPORT OPT WAVE PARK FERC PROJECT NO. 12713
 
 APPLICANT PREPARED ENVIRONMENTAL ASSESSMENT VOLUME II OF IV
 
 REEDSPORT OPT WAVE PARK, LLC An Oregon Corporation
 
 © 2010 Ocean Power Technologies, Inc. All Rights Reserved
 
 JANUARY 2010: APPENDIX F
 
 SPILL PREVENTION CONTROL AND COUNTERMEASURE PLAN",NA,NA
PacWave-N,NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2012,NA,NA
PacWave-N,"NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: ""NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: Obtaining baseline measurements of ocean ambient sound at a mobile test berth site for wave energy conversion off the central Oregon coast
 
 J.H. Haxel, R.P. Dziak, H. Matsumoto""",NA,NA
PacWave-N,"NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: Obtaining baseline measurements of ocean ambient sound at a mobile test berth site for wave energy conversion off the central Oregon coast
 
 J.H. Haxel, R.P. Dziak, H. Matsumoto",NA,NA
PacWave-S,PACWAVE SOUTH APEA,NA,NA
PacWave-S,"PACWAVE SOUTH APEA: APPENDIX I: PROTECTION, MITIGATION, AND ENHANCEMENT MEASURES",NA,NA
PacWave-S,PACWAVE SOUTH APEA: BIRD AND BAT CONSERVATION STRATEGY,NA,NA
RITE,"Final License Application
 
 For New License
 
 Roosevelt Island Tidal Energy Project
 
 FERC No. 12611
 
 Volume 4 of 4: VERDANT POWER
 
 ROOSEVELT ISLAND TIDAL ENERGY (RITE) PROJECT BIOLOGICAL ASSESSMENT
 
 SHORTNOSE STURGEON",NA,NA
RITE,"Final License Application
 
 For New License
 
 Roosevelt Island Tidal Energy Project
 
 FERC No. 12611
 
 Volume 4 of 4: VERDANT POWER
 
 ROOSEVELT ISLAND TIDAL ENERGY (RITE) PROJECT BIOLOGICAL ASSESSMENT: 
 
 ESSENTIAL FISH HABITAT
 
  ROOSEVELT ISLAND TIDAL ENERGY PROJECT
 
 FERC NO. 12611",NA,NA
RITE,"RITE: Final License Application
 
 For New License
 
 Roosevelt Island Tidal Energy Project
 
 FERC No. 12611; VOLUME 2 OF 4",NA,NA
RITE,"Roosevelt Island Tidal Energy (RITE) Environmental Assessment Project
 
 Final Report Report 11-04
 
 March 2011",NA,NA
WETS,WETS EA APRIL 2014,"APPENDIX A: WAVE ENERGY TECHNOLOGY PROJECT, OFFSHORE MARINE CORPS BASE HAWAII
YEAR 1 BIOLOGICAL MONITORING REPORT OCTOBER 2003 THROUGH OCTOBER 2004",https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG51
WETS,WETS EA APRIL 2014,"APPENDIX A: WAVE ENERGY TECHNOLOGY PROJECT, OFFSHORE MARINE CORPS BASE HAWAII
YEAR 1 BIOLOGICAL MONITORING REPORT OCTOBER 2003 THROUGH OCTOBER 2004",https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG52
WETS,WETS EA APRIL 2014,"APPENDIX A: WAVE ENERGY TECHNOLOGY PROJECT, OFFSHORE MARINE CORPS BASE HAWAII
YEAR 1 BIOLOGICAL MONITORING REPORT OCTOBER 2003 THROUGH OCTOBER 2004",https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG55
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG12
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG13
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG15
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG16
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG17
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG18
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG19
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG20
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG21
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG22
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG23
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG24
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG25
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG26
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG27
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG28
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG29
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG30
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG31
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG32
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG33
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG36
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG37
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG38
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG39
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG40
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG41
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG42
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG43
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG44
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG45
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG46
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG47
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG48
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG49
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG50
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG8
WETS,WETS EA APRIL 2014,NA,https://drive.google.com/drive/u/2/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG9
WETS,WETS EA JANUARY 2003,APPENDIX F: Wave Energy Technology (WET) Project Environmental Impacts of Selected Components. July 2002. Sound & Sea Technology.,NA
WETS,WETS EA JANUARY 2003,Appendix H:  Wave Energy Technology (WET) Marine Corps Base Hawaii Marine Environmental Assessment. May 2002. Marine Research Consultants.,NA
WETS,WETS EA JANUARY 2003,"Appendix I: Marine Public Safety and Recreational Uses Report for the Wave Energy Technology (WET) Test Environmental Assessment (EA). May 2002.
Ocean Recreation Consultant, John Clark.",NA
WETS,WETS EA JANUARY 2003,NA,NA
WaveConnect,Humboldt WaveConnect:EA Water Resources 20100301-4006(23508974).pdf,NA,NA
