project,license_date,permit_type,link
Admiralty Inlet,2007-03-09,Notice of Intent/Preliminary Permit Application,https://tethys.pnnl.gov/project-sites/admiralty-inlet-pilot-tidal-project
Admiralty Inlet,2009-12-28,Draft Pilot License App,https://drive.google.com/file/d/10Ak6VlBA9oYbOswaH-O3eOFOLrbY2xJF/view?usp=sharing
Admiralty Inlet,2012-02-29,Final Pilot License App,https://drive.google.com/file/d/1LqrOcOCylyBoyAwSaRjFadW-h40uBfYa/view?usp=sharing
Admiralty Inlet,2012-03-01,Final License App,NA
Admiralty Inlet,2013-08-09,Environmental Assessment,https://drive.google.com/drive/folders/1cAaGNHmSHdbLeh3l99z7gHGhw3roDBPX?usp=sharing
Admiralty Inlet,2014-03-20,Permit Issued,https://drive.google.com/file/d/1HDs3rW09XWr8n_iIQNENtt5qHPo8D5Gm/view?usp=sharing
Bourne,2016-04-20,Notice of Intent/Preliminary Permit Application,NA
Bourne,2022-11-23,Draft Pilot License App,https://drive.google.com/file/d/1_Vw34m4gRmAAOzQR2Ub9ezcGD3SLqGtI/view?usp=sharing
Bourne,2023-09-13,Environmental Assessment,https://drive.google.com/file/d/18mYrRKTQSJTGsniMj06WcAN4_bSItamJ/view?usp=drive_link
Bourne,2024-04-17,Pilot License Issued,https://drive.google.com/file/d/1OE95SszBQTfkcADLZKVT6nLzp3I4q4F4/view?usp=drive_link
Cobscook Bay,2007-07-23,Notice of Intent/Preliminary Permit Application,https://tethys.pnnl.gov/project-sites/cobscook-bay-tidal-energy-project
Cobscook Bay,2009-07-23,Draft Pilot License App,https://drive.google.com/file/d/1aJgY1ZhDEWFxBcYtDzhdiGevZUwawWs0/view?usp=sharing
Cobscook Bay,2011-09-01,Final Pilot License App,https://drive.google.com/file/d/1w3nUFQVaf432a4WeOknkLSj4YOgN53PW/view?usp=sharing
Cobscook Bay,2012-01-04,Environmental Assessment,https://drive.google.com/drive/folders/1CbBgWerz7emGsEpM0wlTKUZZgzWrZ_Jc?usp=sharing
Cobscook Bay,2012-02-27,Permit Issued,https://drive.google.com/file/d/1yFGkh8z-y6EfmLSJuEvf23OsXOrB6dGa/view?usp=sharing
East Foreland,2021-07-26,Notice of Intent/Preliminary Permit Application,https://drive.google.com/file/d/1UgGpwhow9YV1hyzc_2T28ajo9_FtbpWb/view?usp=sharing
Igiugig,2009-06-08,Notice of Intent/Preliminary Permit Application,https://www.orpc.co/our-solutions/scalable-grid-integrated-systems/rivgen-power-system
Igiugig,2015-04-01,Draft Pilot License App,https://drive.google.com/file/d/1A6iCiZa-PYlu9jn9NCEfFDGPNEDzgIL9/view?usp=sharing
Igiugig,2015-05-01,Draft License App,NA
Igiugig,2018-11-15,Final Pilot License App,https://drive.google.com/file/d/1at3pn1cf_nMNmj4qksFWIK3FRd1NsPQ_/view?usp=sharing
Igiugig,2018-11-15,Final License App,NA
Igiugig,2019-02-21,Environmental Assessment,https://drive.google.com/drive/folders/15wutFwuj1OsxvUlLQ6RACSH4whPDh5vI?usp=sharing
Igiugig,2019-05-23,Permit Issued,https://drive.google.com/file/d/1RFnkTk6Yf68eVu9i0DZ4gdrxn8uef4dO/view?usp=sharing
Kootznahoo Inlet,2021-06-11,Notice of Intent/Preliminary Permit Application,https://drive.google.com/file/d/1WrcXCW_Zzc1aIVQwnDi5g5hW-H7EdWcS/view?usp=sharing
Mississippi River,2009-04-01,Notice of Intent/Preliminary Permit Application,https://tethys.pnnl.gov/project-sites/mississippi-river-projects
Muskeget,2008-03-01,Notice of Intent/Preliminary Permit Application,https://tethys.pnnl.gov/publications/muskeget-channel-tidal-energy-project-unique-case-study-licensing-permitting-tidal
Muskeget,2011-01-31,Draft Pilot License App,https://drive.google.com/file/d/18ARr3biaEl_Kpm4OuSnUwhTnnmmYY2-N/view?usp=sharing
OPT Reedsport,2006-07-14,Notice of Intent/Preliminary Permit Application,https://tethys.pnnl.gov/publications/reedsport-opt-environmental-assessment
OPT Reedsport,2010-02-01,Draft License App,https://drive.google.com/file/d/1U1bcs0MnpfNiMGSgpcTO2sHd6bVc8KLB/view?usp=sharing
OPT Reedsport,2010-02-10,Final License App,https://drive.google.com/file/d/1L9oFPgnUe3bzF-j6y1zgYqd9QXx66fRS/view?usp=sharing
OPT Reedsport,2010-07-30,Settlement Agreement,https://drive.google.com/file/d/1QRyyZ6bPxmvrL-AiLtwmXUv8uMGbYrsA/view?usp=sharing
OPT Reedsport,2010-12-03,Environmental Assessment,https://drive.google.com/drive/folders/1EaR31NfRDkzQeaqNJpSktmGbfttbtKId?usp=sharing
OPT Reedsport,2012-08-13,Permit Issued,https://drive.google.com/file/d/1L9oFPgnUe3bzF-j6y1zgYqd9QXx66fRS/view?usp=sharingg
PacWave-N,2012-07-01,Notice of Intent/Preliminary Permit Application,https://tethys.pnnl.gov/project-sites/pacwave-north-test-site
PacWave-N,2012-08-01,Environmental Assessment,https://drive.google.com/file/d/1rcZjwTec_hTLCAsjCMACib8gMcE6bq9w/view?usp=sharing
PacWave-S,2014-04-15,Notice of Intent/Preliminary Permit Application,https://tethys.pnnl.gov/project-sites/pacwave-south-test-site
PacWave-S,2018-04-20,Draft License App,https://drive.google.com/file/d/1lGh81tnKyoaG9DjE9wepV5HeLWOsXW16/view?usp=sharing
PacWave-S,2019-05-31,Final License App,https://drive.google.com/file/d/1cS_n-uodSZauXnkz4F9YecYBTCqtEB8h/view?usp=sharing
PacWave-S,2021-03-01,Permit Issued,https://drive.google.com/drive/folders/1oAKHcLhjdekHDFFi9BXJ_muR1DuJOCCY?usp=sharing
RITE,2002-09-09,Notice of Intent/Preliminary Permit Application,https://tethys.pnnl.gov/project-sites/roosevelt-island-tidal-energy-rite-project-pilot
RITE,2008-11-25,Draft Pilot License App,https://drive.google.com/file/d/1GeTfaCBDBHdei15ZrOCq61YWv4Wk9mca/view
RITE,2010-12-29,Final Pilot License App,https://drive.google.com/file/d/1vzVSeZ4YV7l7tNswzBinqoj9cLYHnHwh/view?usp=sharing
RITE,2012-01-23,Pilot License Issued,NA
RITE,2012-01-23,Permit Issued,https://drive.google.com/file/d/12dClt3bUzTQrNyU6ibHU3iSm8CJYeYuC/view?usp=sharing
RITE,2018-08-31,Draft Re-License App,https://drive.google.com/file/d/1Xg6yBIg8ejzm6NqsRgGGyEg4du7tguWC/view?usp=sharing
RITE,2019-12-30,Final Re-License App,https://drive.google.com/file/d/1mVzdZsY_1F2NFyL9hKrzpEn4LJeWcP0S/view?usp=sharing
RITE,2021-12-23,Decommissioning,https://drive.google.com/file/d/1ODDR71DJZmxNNkn3ddO6ojGCDPJhLH-4/view?usp=sharing
SeaRay,2010-03-23,Environmental Assessment,https://drive.google.com/file/d/1fGAfF6xqqjj2xAin4l8_tAVNTmnG2p58/view?usp=sharing
Turnagain Arm,2021-07-23,Notice of Intent/Preliminary Permit Application,https://drive.google.com/file/d/1nFjIxCiHRU3LxKpc6TN4FF5KqzEUb80C/view?usp=sharing
WETS,2003-04-10,Environmental Assessment,https://drive.google.com/file/d/19xCyjgBCAXYGVCitDi6zEeMjtN_bnDa8/view?usp=sharing
WETS,2014-02-25,Environmental Assessment,https://drive.google.com/file/d/1sIPvQCinvsEEUTLZlDfqDgMmkfaL0Ko7/view?usp=sharing
WaveConnect,2008-03-13,Notice of Intent/Preliminary Permit Application,https://www.pge.com/about/environment/pge/cleanenergy/waveconnect/relateddocuments.shtml
WaveConnect,2010-02-26,Draft Pilot License App,https://drive.google.com/file/d/1qpHn729qpCc0GRdRDypzBLrw7fIXZlZ1/view?usp=sharing
WaveConnect,2010-03-01,Draft License App,NA
Western Passage,2015-12-04,Notice of Intent/Preliminary Permit Application,https://drive.google.com/file/d/1quk5I81CySWfdyw7dHkHi4UlMRwxTOIW/view?usp=sharing
Yakutat,2012-05-25,Notice of Intent/Preliminary Permit Application,https://drive.google.com/file/d/1i__sZ6cbB6zZRKlh96hNRWqnO80tFb9_/view?usp=sharing
