content,tag_category,content_tag,tag_sql
ferc_docs,Consequence,Attraction,Consequence.Attraction
ferc_docs,Consequence,Avoidance,Consequence.Avoidance
ferc_docs,Consequence,BehavioralChange,Consequence.BehavioralChange
ferc_docs,Consequence,Collision,Consequence.Collision
ferc_docs,Consequence,CommunityChange,Consequence.CommunityChange
ferc_docs,Consequence,Displacement,Consequence.Displacement
ferc_docs,Consequence,EntanglementEntrapment,Consequence.EntanglementEntrapment
ferc_docs,Consequence,Injury,Consequence.Injury
ferc_docs,Consequence,Mortality,Consequence.Mortality
ferc_docs,Phase,1. Site Characterization and Assessment,Phase.1SiteCharacterizationandAssessment
ferc_docs,Phase,2. Construction,Phase.2Construction
ferc_docs,Phase,3. Operations and Maintenance,Phase.3OperationsandMaintenance
ferc_docs,Phase,"3. Operations, Maintenance and Compliance",Phase.3OperationsandMaintenance
ferc_docs,Phase,4. Decommissioning,Phase.4Decommissioning
ferc_docs,Phase,ALL,Phase
ferc_docs,Receptor,ALL,Receptor
ferc_docs,Receptor,Bats,Receptor.Bats
ferc_docs,Receptor,Birds,Receptor.Birds
ferc_docs,Receptor,Birds.GroundNestingBirds,Receptor.Birds.GroundNestingBirds
ferc_docs,Receptor,Birds.Passerines,Receptor.Birds.Passerines
ferc_docs,Receptor,Birds.Raptors,Receptor.Birds.Raptors
ferc_docs,Receptor,Birds.Seabirds,Receptor.Birds.Seabirds
ferc_docs,Receptor,Birds.Shorebirds,Receptor.Birds.Shorebirds
ferc_docs,Receptor,Birds.Waterfowl,Receptor.Birds.Waterfowl
ferc_docs,Receptor,Ecosystem Processes,Receptor.EcosystemProcesses
ferc_docs,Receptor,Fish,Receptor.Fish
ferc_docs,Receptor,Fish.Demersal Fish,Receptor.Fish.DemersalFish
ferc_docs,Receptor,Fish.Pelagic Fish,Receptor.Fish.PelagicFish
ferc_docs,Receptor,Fish.Sharks,Receptor.Fish.Sharks
ferc_docs,Receptor,Habitat.Benthos,Receptor.Habitat.Benthos
ferc_docs,Receptor,Habitat.Intertidal,Receptor.Habitat.Intertidal
ferc_docs,Receptor,Human Dimensions,Receptor.HumanDimensions
ferc_docs,Receptor,Human Dimensions.Climate Change,Receptor.HumanDimensions.ClimateChange
ferc_docs,Receptor,Human Dimensions.Environmental Impact Assessment,Receptor.HumanDimensions.EnvironmentalImpactAssessment
ferc_docs,Receptor,Human Dimensions.Fisheries,Receptor.HumanDimensions.Fisheries
ferc_docs,Receptor,Human Dimensions.Legal & Policy,Receptor.HumanDimensions.LegalPolicy
ferc_docs,Receptor,Human Dimensions.Life Cycle Assessment,Receptor.HumanDimensions.LifeCycleAssessment
ferc_docs,Receptor,Human Dimensions.Marine Spatial Planning,Receptor.HumanDimensions.MarineSpatialPlanning
ferc_docs,Receptor,Human Dimensions.Navigation,Receptor.HumanDimensions.Navigation
ferc_docs,Receptor,Human Dimensions.Recreation & Tourism,Receptor.HumanDimensions.RecreationTourism
ferc_docs,Receptor,Human Dimensions.Social & Economic Data,Receptor.HumanDimensions.SocialEconomicData
ferc_docs,Receptor,Human Dimensions.Stakeholder Engagement,Receptor.HumanDimensions.StakeholderEngagement
ferc_docs,Receptor,Human Dimensions.Visual Impacts,Receptor.HumanDimensions.VisualImpacts
ferc_docs,Receptor,Invertebrates,Receptor.Invertebrates
ferc_docs,Receptor,Marine Mammals,Receptor.MarineMammals
ferc_docs,Receptor,Marine Mammals.Cetaceans,Receptor.MarineMammals.Cetaceans
ferc_docs,Receptor,Marine Mammals.Pinnipeds,Receptor.MarineMammals.Pinnipeds
ferc_docs,Receptor,Physical Environment,Receptor.PhysicalEnvironment
ferc_docs,Receptor,Physical Environment.Sediment Transport,Receptor.PhysicalEnvironment.SedimentTransport
ferc_docs,Receptor,Physical Environment.Water Quality,Receptor.PhysicalEnvironment.WaterQuality
ferc_docs,Receptor,Reptiles,Receptor.Reptiles
ferc_docs,Receptor,Terrestrial Mammals,Receptor.TerrestrialMammals
ferc_docs,Stressor,ALL,Stressor
ferc_docs,Stressor,Behavioral Interaction,Stressor.BehavioralInteraction
ferc_docs,Stressor,Behavioral Interaction.Attraction,Stressor.BehavioralInteraction.Attraction
ferc_docs,Stressor,Behavioral Interaction.Avoidance,Stressor.BehavioralInteraction.Avoidance
ferc_docs,Stressor,Behavioral Interaction.Displacement,Stressor.BehavioralInteraction.Displacement
ferc_docs,Stressor,EMF,Stressor.EMF
ferc_docs,Stressor,Habitat Change,Stressor.HabitatChange
ferc_docs,Stressor,Invasive Species,Stressor.InvasiveSpecies
ferc_docs,Stressor,Lighting,Stressor.Lighting
ferc_docs,Stressor,Noise,Stressor.Noise
ferc_docs,Stressor,Noise Underwater,Stressor.Noise.Underwater
ferc_docs,Stressor,Physical Interaction,Stressor.PhysicalInteraction
ferc_docs,Stressor,Physical Interaction.Changes in Flow,Stressor.PhysicalInteraction.ChangesinFlow
ferc_docs,Stressor,Physical Interaction.Chemicals,Stressor.PhysicalInteraction.Chemicals
ferc_docs,Stressor,Physical Interaction.Collision,Stressor.PhysicalInteraction
ferc_docs,Stressor,Physical Interaction.Collision,Consequence.Collision
ferc_docs,Stressor,Physical Interaction.Dynamic Effects,Stressor.PhysicalInteraction.DynamicEffects
ferc_docs,Stressor,Physical Interaction.Entanglement,Stressor.PhysicalInteraction
ferc_docs,Stressor,Physical Interaction.Entanglement,Consequence.EntanglementEntrapment
ferc_docs,Stressor,Physical Interaction.Entrapment,Stressor.PhysicalInteraction
ferc_docs,Stressor,Physical Interaction.Entrapment,Consequence.EntanglementEntrapment
ferc_docs,Stressor,PhysicalInteraction.Collision,Stressor.PhysicalInteraction
ferc_docs,Stressor,PhysicalInteraction.Collision,Consequence.Collision
ferc_docs,Stressor,PhysicalInteraction.Entanglement,Stressor.PhysicalInteraction
ferc_docs,Stressor,PhysicalInteraction.Entanglement,Consequence.EntanglementEntrapment
ferc_docs,Stressor,PhysicalInteraction.Entrapment,Stressor.PhysicalInteraction
ferc_docs,Stressor,PhysicalInteraction.Entrapment,Consequence.EntanglementEntrapment
ferc_docs,Technology,Marine Energy.Tidal,Technology.Current.Tidal
ferc_docs,Technology,Marine Energy.Wave,Technology.Wave
tethys_mgt,Management,Compliance,Management.Compliance
tethys_mgt,Management,Design feature,Management.DesignFeature
tethys_mgt,Management,Mitigation,Management.Mitigation
tethys_mgt,Management,Monitoring,Management.Monitoring
tethys_mgt,Phase,Decommissioning,Phase.4Decommissioning
tethys_mgt,Phase,Installation,Phase.2Construction
tethys_mgt,Phase,Operation & Maintenance,Phase.3OperationsandMaintenance
