receptor,stressor,receptor_id,stressor_id,url,num_refs,link
Bats,Noise,269,355,https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:355,4,<a href='https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:355'>Bats x Noise (4)</a>
Bats,Changes in Flow,269,353,https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:353,4,<a href='https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:353'>Bats x Changes in Flow (4)</a>
Bats,Habitat Change,269,356,https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:356,4,<a href='https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:356'>Bats x Habitat Change (4)</a>
Bats,Collision,269,351,https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:351,4,<a href='https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:351'>Bats x Collision (4)</a>
Bats,EMF,269,352,https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:352,4,<a href='https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:352'>Bats x EMF (4)</a>
Bats,Attraction,269,530,https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:530,2,<a href='https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:530'>Bats x Attraction (2)</a>
Bats,Avoidance,269,531,https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:531,1,<a href='https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:531'>Bats x Avoidance (1)</a>
Bats,Displacement,269,532,https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:532,1,<a href='https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:532'>Bats x Displacement (1)</a>
Bats,Chemicals,269,350,https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:350,2,<a href='https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:350'>Bats x Chemicals (2)</a>
Bats,Entrapment,269,533,https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:533,0,<a href='https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:533'>Bats x Entrapment (0)</a>
Bats,Lighting,269,354,https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:354,1,<a href='https://tethys.pnnl.gov/knowledge-base-marine-energy?f[0]=receptor:269&f[1]=stressor:354'>Bats x Lighting (1)</a>
