Technology,Management_Measure_Category,Project_Phase,Stressor,Receptor,Specific_Receptor,Interaction,Specific_Management_Measures,Implications_of_Measure,Comments_on_Past_Experience,Cost_of_Management_Measure,When_Is_It_Needed,Advantages,Challenges,Project_Documents,Project_Sites
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Collision risk,Marine Mammals,Seals,The potential effects from airborne noise from support vessel activity.,Adherence to Scotish Marine Wildlife Watching Code (SMWWC).,NA,NA,New measure,NA,NA,NA,"EMEC Fall of Warness Test Site: Environmental Appraisal, EMEC Billia Croo Test Site: Environmental Appraisal, Scapa Flow Scale Test Site Gravity Base Anchors: Marine Licence Application - Supporting Document, Environmental Scoping Report Westray South Tidal Array, Magallanes ATIR: Project Environmental Monitoring Plan, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Deployment of a Shallow Water Wave Energy Converter at the EMEC Billia Croo Test Site: Environmental Report and Project-specific Environmental Monitoring Plan, Orbital O2 Environmental Monitoring Programme","EMEC Fall of Warness Grid-Connected Tidal Test Site, EMEC Billia Croo Grid-Connected Wave Test Site, EMEC Scapa Flow Scale Wave Test Site, Westray South Tidal Project, Magallanes Renovables ATIR at EMEC, Tocardo InToTidal at EMEC, EMEC Billia Croo Grid-Connected Wave Test Site, Mocean Wave Energy Converter: Blue Horizon"
Tidal,Design feature,Operation & Maintenance,Changes in water flow,Reptiles,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,Design structures to minimise effect on turbulence structure.,NA,NA,NA,NA,Minimizeschange in turbulence structure and hence potential interaction.,"Can present financial, logistical, or design challenges to technology developer to alter design of device/moorings","Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen)"
Tidal,Monitoring,Operation & Maintenance,Changes in water flow,Fish,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,"Modelling to predict the interaction between changes in tidal flow, flux, and turbulence structure and animals.",NA,NA,NA,NA,Reduces scientific uncertainty so appropriate management measures can be employed.,Limited management measures available to minimise interaction despite modelling to fully predict interaction.,NA,NA
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Vessel disturbance,Fish,"Elasmobranch, large fish",Potential for disturbance from project vessels.,Reduce speed and maintain steady course when animal is sighted.,Reduces potential effects and is a relatively low cost measure.,"Difficult to regulate and movements of animals can't be controlled. However, is commonly used in the industry with apparent success.",NA,During vessel transits to and from site.,Reduces potential effects and is a relatively low cost measure.,NA,"Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, Magallanes ATIR: Project Environmental Monitoring Plan, Scapa Flow Scale Test Site Gravity Base Anchors: Marine Licence Application - Supporting Document, Environmental Scoping Report Westray South Tidal Array, Magallanes ATIR: Project Environmental Monitoring Plan, 40MW Oyster Wave Array North West Coast, Isle of Lewis Environmental Statement, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Environmental Assessment for Hydropower License: PacWave South Project","Wello Penguin at EMEC, Magallanes Renovables ATIR at EMEC, EMEC Scapa Flow Scale Wave Test Site, Westray South Tidal Project, Oyster 800 at EMEC, Tocardo InToTidal at EMEC, PacWave South Test Site"
"Wave, Tidal",Design feature,Installation,Marine Non-Native Species (MNNS),Benthic,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Avoid the introduction of hard bottom substrate into a soft bottom habitat.,"Ensures the efficient recovery of species native to the surrounding habitat. 
May have technical implications.",NA,NA,As far as technical and economic considerations permit.,Ensures the efficient recovery of species native to the surrounding habitat.,May have technical implications.,"Deep Green Holyhead Deep Project Phase I (0.5 MW) - Environmental Statement, Environmental Assessment for Hydropower License: PacWave South Project","Minesto Holyhead Deep - Non-grid connected DG500, PacWave South Test Site"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Barrier to movement,Fish,NA,"Potential barrier to movement due to the physical presence of devices and associated moorings/support structures, cables and electrical equipment.",Adherence to vessel management plan.,NA,NA,NA,NA,Minimizes the potential interaction between animals and construction or maintenance vessels.,NA,"Environmental Scoping Report: Brims Tidal Array, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Sound of Islay Environmental Statement","Brims Tidal Array, Tocardo InToTidal at EMEC, Sound of Islay Demonstration Tidal Array"
"Wave, Tidal",Design feature,Operation & Maintenance,Entanglement,Marine Mammals,Cetaceans,Potential for marine animals to become entangled in device mooring lines and cables.,Minimise the number of mooring lines.,NA,NA,NA,NA,Reduce risk of entanglement.,Could be a costly measure for technology developers.,NA,NA
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Fish,Elasmobranchs,Impacts of electromagnetic fields from subsea cables on sensitive species.,Bundle cables together to reduce field vectors.,"Reduce the level of EMF to surrounding water column and therefore any potential effects.

Could result in there being less redundancy in the system and potential commercial and technical feasibility issues.",NA,NA,Whenever technical and economic considerations permit.,Reduce the level of EMF to surrounding water column and therefore any potential effects.,"Less redundancy in system.
Potential commercial and technical feasibility issues.
Greater costs associated with not laying direct cable paths.",MeyGen Tidal Energy Project Phase 1: Environmental Statement,MeyGen Tidal Energy Project - Phase I
"Wave, Tidal",Monitoring,Operation & Maintenance,Habitat Creation,Habitat,Roosting birds,The introduction of infrastructure and artificial substrates will provide potential roosting habitat.,Monitor use of device as a roosting platform.,"Reduces scientific uncertainty around collision risk, displacement and other impacts, however this type of monitoring can be expensive.",NA,NA,Post installation monitoring is often required by regulators and is carried out in order to validate the assumptions made in EIA and to assess ecological change.,"Reduces scientific uncertainty around collision risk, displacement, and other impacts.
Monitoring is relatively inexpensive to carry out.",Data mortgage (data gathered more quickly than it can be analyzed).,NA,NA
"Wave, Tidal",Mitigation,Operation & Maintenance,Contamination,Benthic,NA,Potential for oil/hydraulic spill incident resulting from the maintenance activities.,All maintenance activities involving oil/hydraulic fluid treatments will be carried out on-shore.,Reduces the chance for oil spill to the environment,NA,NA,NA,Reduces the chance of oil spill to the environment.,NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement",EMEC Fall of Warness Grid-Connected Tidal Test Site
