Specific Receptor,n,specific_receptor,key_facet,key_parent,key_order,key_spaced
All receptors,452,All Receptors,NA,NA,NA,NA
Basking shark,2,Basking Shark,NA,NA,NA,NA
Basking shark; Large fish,18,Basking Shark; Large Fish,NA,NA,NA,NA
Basking shark; Whale shark; Fish,2,Basking Shark; Whale Shark; Fish,NA,NA,NA,NA
Benthic,2,Benthic,NA,NA,NA,NA
Benthic invertebrates,46,Benthic Invertebrates,NA,NA,NA,NA
Benthic species,4,Benthic Species,NA,NA,NA,NA
Birds,2,Birds,receptor,NA,Birds,Birds
Birds on water,18,Birds On Water,NA,NA,NA,NA
Cetaceans,24,Cetaceans,receptor,Marine Mammals,Marine Mammals:Cetaceans,    Cetaceans
Demersal fish,28,Demersal Fish,receptor,Fish,Fish:Demersal Fish,    Demersal Fish
Diving birds,16,Diving Birds,NA,NA,NA,NA
Elasmobranchs,4,Elasmobranchs,NA,NA,NA,NA
Fish,16,Fish,receptor,NA,Fish,Fish
"Fish, Benthic invertebrates",6,"Fish, Benthic Invertebrates",NA,NA,NA,NA
Intertidal ecology,4,Intertidal Ecology,NA,NA,NA,NA
Large fish,8,Large Fish,NA,NA,NA,NA
Marine Mammals,38,Marine Mammals,receptor,NA,Marine Mammals,Marine Mammals
Migratory fish,8,Migratory Fish,NA,NA,NA,NA
Migratory fish; Elasmobranchs,2,Migratory Fish; Elasmobranchs,NA,NA,NA,NA
Roosting birds,2,Roosting Birds,NA,NA,NA,NA
Sea turtles,12,Sea Turtles,NA,NA,NA,NA
Seabirds,14,Seabirds,receptor,Birds,Birds:Seabirds,    Seabirds
Seals,6,Seals,NA,NA,NA,NA
Seals; Cetaceans,2,Seals; Cetaceans,NA,NA,NA,NA
Shore-nesting birds,6,Shore-Nesting Birds,NA,NA,NA,NA
NA,NA,Bats,receptor,NA,Bats,Bats
NA,NA,Ground-Nesting Birds,receptor,Birds,Birds:Ground-Nesting Birds,    Ground-Nesting Birds
NA,NA,Passerines,receptor,Birds,Birds:Passerines,    Passerines
NA,NA,Raptors,receptor,Birds,Birds:Raptors,    Raptors
NA,NA,Shorebirds,receptor,Birds,Birds:Shorebirds,    Shorebirds
NA,NA,Waterfowl,receptor,Birds,Birds:Waterfowl,    Waterfowl
NA,NA,Ecosystem Processes,receptor,NA,Ecosystem Processes,Ecosystem Processes
NA,NA,Pelagic Fish,receptor,Fish,Fish:Pelagic Fish,    Pelagic Fish
NA,NA,Human Dimensions,receptor,NA,Human Dimensions,Human Dimensions
NA,NA,Climate Change,receptor,Human Dimensions,Human Dimensions:Climate Change,    Climate Change
NA,NA,Environmental Impact Assessment,receptor,Human Dimensions,Human Dimensions:Environmental Impact Assessment,    Environmental Impact Assessment
NA,NA,Fisheries,receptor,Human Dimensions,Human Dimensions:Fisheries,    Fisheries
NA,NA,Legal & Policy,receptor,Human Dimensions,Human Dimensions:Legal & Policy,    Legal & Policy
NA,NA,Life Cycle Assessment,receptor,Human Dimensions,Human Dimensions:Life Cycle Assessment,    Life Cycle Assessment
NA,NA,Marine Spatial Planning,receptor,Human Dimensions,Human Dimensions:Marine Spatial Planning,    Marine Spatial Planning
NA,NA,Navigation,receptor,Human Dimensions,Human Dimensions:Navigation,    Navigation
NA,NA,Recreation & Tourism,receptor,Human Dimensions,Human Dimensions:Recreation & Tourism,    Recreation & Tourism
NA,NA,Social & Economic Data,receptor,Human Dimensions,Human Dimensions:Social & Economic Data,    Social & Economic Data
NA,NA,Stakeholder Engagement,receptor,Human Dimensions,Human Dimensions:Stakeholder Engagement,    Stakeholder Engagement
NA,NA,Visual Impacts,receptor,Human Dimensions,Human Dimensions:Visual Impacts,    Visual Impacts
NA,NA,Invertebrates,receptor,NA,Invertebrates,Invertebrates
NA,NA,Pinnipeds,receptor,Marine Mammals,Marine Mammals:Pinnipeds,    Pinnipeds
NA,NA,Physical Environment,receptor,NA,Physical Environment,Physical Environment
NA,NA,Sediment Transport,receptor,Physical Environment,Physical Environment:Sediment Transport,    Sediment Transport
NA,NA,Water Quality,receptor,Physical Environment,Physical Environment:Water Quality,    Water Quality
NA,NA,Reptiles,receptor,NA,Reptiles,Reptiles
NA,NA,Terrestrial Mammals,receptor,NA,Terrestrial Mammals,Terrestrial Mammals
