Technology,Category,Phase,Stressor,Receptor,Specific Receptor,Interaction,Specific Management Measures,Implications of Measure
Tidal,Mitigation,Decommissioning,Changes in sediment dynamics,Benthic,All receptors,Sediment disturbance disrupting water clarity that results in smothering of fish spawning grounds.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation / mooring installation.,n/a
Wave,Mitigation,Installation,Contamination,Benthic,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. However, use of lower toxicity may compromise performance, or impact other technical issues (e.g. fluid changes)."
Wave,Mitigation,Decommissioning,Contamination,Benthic,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Where rock placement is used, ensure clean rock is used.",Reduces/removes risk of contamination from materials.
Tidal,Compliance,Operation & Maintenance,Contamination,Benthic,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Management: Establish and implement a Contamination Control Plan / Ship Oil Contamination Emergency Plans (SOPEPs).
Compliance with International Maritime Organization (IMO) and Maritime Coastguard Agency (MCA) codes for the prevention of contamination.",Reduces risk of any contamination event and ensures that contingency plans are in place. Demonstrates compliance with environmental management systems.
Tidal,Monitoring,Operation & Maintenance,Habitat creation,Benthic,All receptors,The introduction of infrastructure and artificial substrates will provide habitat and artificial refuges.,Monitor near-field behaviors .,"Informs understanding of potential positive impacts from colonization and use of the project infrastructure which could benefit future project applications, however there is a cost implication associated with monitoring."
Wave,Compliance,Operation & Maintenance,Marine Non-Native Species (MNNS),Benthic,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/remove risk of transfer of non-native species.
Tidal,Mitigation,Installation,Marine Non-Native Species (MNNS),Benthic,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduce/remove risk of transfer of non-native species.
Tidal,Compliance,Decommissioning,Marine Non-Native Species (MNNS),Benthic,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Reduce/remove risk of transfer and settlement of non-native species.
Tidal,Monitoring,Decommissioning,Marine Non-Native Species (MNNS),Benthic,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Monitoring and reporting of MNNS.,Reduce/removes risk of transfer of non-native species.
Tidal,Mitigation,Decommissioning,Changes in sediment dynamics,Birds,All receptors,Reduced visibility impacting prey detection and obstruction avoidance.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation / mooring installation.,n/a
Wave,Mitigation,Operation & Maintenance,Contamination,Birds,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. However, use of lower toxicity may compromise performance, or impact other technical issues (e.g. fluid changes)."
Tidal,Mitigation,Installation,Contamination,Birds,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Where rock placement is used, ensure clean rock is used.",Reduces/removes risk of contamination from materials.
Tidal,Mitigation,Decommissioning,Contamination,Birds,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Management: Establish and implement a Contamination Control Plan / Ship Oil Contamination Emergency Plans (SOPEPs).
Compliance with International Maritime Organisation (IMO) and Maritime Coastguard Agency (MCA) codes for the prevention of contamination.",Reduces risk of any contamination event and ensures that contingency plans are in place. Demonstrates compliance with environmental management systems.
Tidal,Compliance,Installation,Marine Non-Native Species (MNNS),Birds,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Would remove/reduce risk of transfer and settlement of non-native species.
Tidal,Mitigation,Decommissioning,Marine Non-Native Species (MNNS),Birds,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Establish and implement a Biofouling Management Plan.,Reduce/remove risk of transfer of non-native species.
Wave,Compliance,Operation & Maintenance,Marine Non-Native Species (MNNS),Birds,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/remove risk of transfer of non-native species.
Tidal,Mitigation,Installation,Marine Non-Native Species (MNNS),Birds,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduce/remove risk of transfer of non-native species.
Tidal,Monitoring,Installation,Marine Non-Native Species (MNNS),Birds,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Monitoring and reporting of MNNS.,Reduce/removes risk of transfer of non-native species.
Tidal,Mitigation,Decommissioning,Changes in sediment dynamics,Fish,All receptors,Sediment disturbance disrupting water clarity that results in smothering of fish spawning grounds.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation / mooring installation.,n/a
Tidal,Design feature,Installation,Contamination,Fish,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Physical Containment systems including bulk heads, closed circuit systems, pressure relief systems.",Reduces risk of contamination escaping from structure.
Tidal,Mitigation,Decommissioning,Contamination,Fish,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. Alrhough, use of lower toxicity materials may compromise performance, or impact other technical issues (e.g. fluid changes)."
Wave,Compliance,Operation & Maintenance,Contamination,Fish,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Management: Establish and implement a Contamination Control Plan / Ship Oil Contamination Emergency Plans (SOPEPs).
Compliance with International Maritime Organisation (IMO) and Maritime Coastguard Agency (MCA) codes for the prevention of contamination.",Reduces risk of any contamination event and ensures that contingency plans are in place. Demonstrates compliance with environmental management systems.
Tidal,Monitoring,Operation & Maintenance,Habitat creation,Fish,All receptors,The introduction of infrastructure and artificial substrates will provide habitat and artificial refuges.,Monitor near-field behaviours.,"Informs understanding of potential positive impacts from colonisation and use of the project infrastructure which could benefit future project applications. However, there is a cost implication associated with monitoring."
Tidal,Compliance,Decommissioning,Marine Non-Native Species (MNNS),Fish,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Reduce/remove risk of transfer and settlement of non-native species.
Wave,Mitigation,Operation & Maintenance,Marine Non-Native Species (MNNS),Fish,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/removes risk of transfer of non-native species.
Tidal,Compliance,Installation,Marine Non-Native Species (MNNS),Fish,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/removes risk of transfer of non-native species.
Tidal,Mitigation,Decommissioning,Marine Non-Native Species (MNNS),Fish,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduce/removes risk of transfer of non-native species.
Tidal,Mitigation,Decommissioning,Changes in sediment dynamics,Marine Mammals,All receptors,Reduced visibility impacting prey detection and obstruction avoidance.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation / mooring installation.,n/a
