data_dir,geodatabase,layer,table,tbl_exists,loaded,has_geom
/share/data/marinecadastre.gov/Federal and State Waters/FederalAndStateWaters_dir,/share/data/marinecadastre.gov/Federal and State Waters/FederalAndStateWaters_dir/FederalAndStateWaters.gdb,FederalAndStateWaters,gdb_FederalAndStateWaters,TRUE,FALSE,TRUE
/share/data/marinecadastre.gov/Formerly Used Defense Sites (Unexploded Ordnances)/UnexplodedOrdnance_FUDS_dir,/share/data/marinecadastre.gov/Formerly Used Defense Sites (Unexploded Ordnances)/UnexplodedOrdnance_FUDS_dir/UnexplodedOrdnance_FUDS.gdb,UnexplodedOrdnance_FUDS,gdb_UnexplodedOrdnance_FUDS,TRUE,FALSE,TRUE
/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir,/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir/MHI-Biogeographic-Assessment_Chapter-3_Benthics_Public.gdb,Shallow_CompiledHabitatRecords_Benthic_Habitat_Map,gdb_Shallow_CompiledHabitatRecords_Benthic_Habitat_Map,TRUE,FALSE,TRUE
/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir,/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir/MHI-Biogeographic-Assessment_Chapter-3_Benthics_Public.gdb,Shallow_CompiledHabitatRecords_Coral_Richness_Mean,gdb_Shallow_CompiledHabitatRecords_Coral_Richness_Mean,TRUE,FALSE,TRUE
/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir,/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir/MHI-Biogeographic-Assessment_Chapter-3_Benthics_Public.gdb,Shallow_CompiledHabitatRecords_Coral_Richness_by_Year,gdb_Shallow_CompiledHabitatRecords_Coral_Richness_by_Year,TRUE,FALSE,TRUE
/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir,/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir/MHI-Biogeographic-Assessment_Chapter-3_Benthics_Public.gdb,Shallow_CompiledHabitatRecords_Biological_Cover_Mean,gdb_Shallow_CompiledHabitatRecords_Biological_Cover_Mean,TRUE,FALSE,TRUE
/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir,/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir/MHI-Biogeographic-Assessment_Chapter-3_Benthics_Public.gdb,Shallow_CompiledHabitatRecords_Biological_Cover_by_Year,gdb_Shallow_CompiledHabitatRecords_Biological_Cover_by_Year,TRUE,FALSE,TRUE
/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir,/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir/MHI-Biogeographic-Assessment_Chapter-3_Benthics_Public.gdb,Mesophotic_CompiledSurveyRecords_Presences_and_Absences_of_Leptoseris_Porites_Montipora,gdb_Mesophotic_CompiledSurveyRecords_Presences_and_Absenc_6,TRUE,FALSE,TRUE
/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir,/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir/MHI-Biogeographic-Assessment_Chapter-3_Benthics_Public.gdb,Shallow_CompiledHabitatRecords_Benthic_Habitat_VideoPhotoLocations,gdb_Shallow_CompiledHabitatRecords_Benthic_Habitat_VideoP_7,TRUE,FALSE,TRUE
/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir,/share/data/marinecadastre.gov/Hawaii Benthic Habitat Map - Biological Cover/GIS-Data_FileGeodatabase_Chapter-3_Benthics_dir/MHI-Biogeographic-Assessment_Chapter-3_Benthics_Public.gdb,Shallow_CompiledHabitatRecords_Benthic_Habitat_VideoPhotoLocations_Key,gdb_Shallow_CompiledHabitatRecords_Benthic_Habitat_VideoP_8,FALSE,FALSE,FALSE
