tech1,tech2,img,gif
Current,Axial Flow,https://openei.org/w/images/d/d2/Axial-Flow-Turbine.jpg,http://www.emec.org.uk/wp-content/uploads/2012/03/vertaxis-preview.gif
Current,Cross Flow,https://openei.org/w/images/d/de/Cross-Flow-Turbine.jpg,http://www.emec.org.uk/wp-content/uploads/2012/03/horizaxis-preview.gif
Current,Oscillating Hydrofoil,https://openei.org/w/images/9/97/Reciprocating-device.jpg,http://www.emec.org.uk/wp-content/uploads/2012/03/reciprocating-hydrofoil.gif
Current,Archimedes Screw,https://openei.org/w/images/c/ca/Tidal-Screw.jpg,http://www.emec.org.uk/wp-content/uploads/2012/03/Archimedes-Screw.gif
Current,Kite,https://openei.org/w/images/c/c0/Tidal-Kite.jpg,http://www.emec.org.uk/wp-content/uploads/2012/03/Tidal-Kite.gif
Wave,Point Absorber,https://openei.org/w/images/3/32/Point-Absorber.jpg,http://www.emec.org.uk/wp-content/uploads/2012/03/point-absorber1.gif
Wave,Oscillating Water Column,https://openei.org/w/images/5/52/Oscillating-Water-Column.png,http://www.emec.org.uk/wp-content/uploads/2012/03/oscillating-water-column1.gif
Wave,Oscillating Wave Surge,https://openei.org/w/images/2/24/Oscillating-Wave-Surge.jpg,http://www.emec.org.uk/wp-content/uploads/2012/03/owsc1.gif
Wave,Overtopping,https://openei.org/w/images/e/e4/Overtopping-Device.jpg,http://www.emec.org.uk/wp-content/uploads/2012/03/overtoppingdevice-preview1.gif
Wave,Attenuator,https://openei.org/w/images/c/c4/Surface-Attenuator.jpg,http://www.emec.org.uk/wp-content/uploads/2012/03/Attenuator.gif
Wave,Pressure Differential,https://openei.org/w/images/thumb/8/8c/Pressure-differential.png/600px-Pressure-differential.png,http://www.emec.org.uk/wp-content/uploads/2012/03/submergedpressuredifferential1.gif
Wave,Terminator,,http://www.emec.org.uk/wp-content/uploads/2012/03/overtoppingdevice-preview1.gif
